,id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
26118,10298783,Manhattan,Harlem,Private room,180.0,30,193
26119,40501316,Queens,Long Island City,Private room,238.0,4,22
26120,53398202,Manhattan,Two Bridges,Entire home/apt,100.0,30,20
26121,33826205,Brooklyn,Bedford-Stuyvesant,Entire home/apt,270.0,30,4
26122,1107831092152405927,Manhattan,Hell's Kitchen,Entire home/apt,400.0,31,0
26123,18325063,Queens,Long Island City,Private room,96.0,30,15
26124,43251184,Brooklyn,Gowanus,Private room,52.0,30,0
26125,884851071791030135,Queens,Astoria,Entire home/apt,350.0,30,9
26126,29702007,Brooklyn,Carroll Gardens,Entire home/apt,140.0,30,25
26127,48715912,Brooklyn,Greenpoint,Entire home/apt,191.0,30,1
26128,1027478448890543432,Brooklyn,East Flatbush,Private room,159.0,3,14
26129,578284172312341665,Brooklyn,Bedford-Stuyvesant,Private room,44.0,30,0
26130,17652158,Brooklyn,Williamsburg,Private room,66.0,30,255
26131,847109091829310539,Brooklyn,Bedford-Stuyvesant,Private room,47.0,30,0
26132,32790563,Manhattan,Harlem,Private room,100.0,30,2
26133,43251246,Brooklyn,Gowanus,Private room,52.0,30,0
26134,979046337046011452,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,3
26135,772544063239377923,Brooklyn,East Flatbush,Private room,141.0,30,3
26136,51040846,Brooklyn,Williamsburg,Entire home/apt,229.0,30,9
26137,596203731563582651,Brooklyn,Williamsburg,Entire home/apt,170.0,30,7
26138,49698767,Manhattan,Upper West Side,Entire home/apt,515.0,31,0
26139,49125584,Brooklyn,Williamsburg,Private room,47.0,30,0
26140,983625,Manhattan,Harlem,Entire home/apt,169.0,30,208
26141,1233340604762036378,Brooklyn,Crown Heights,Private room,44.0,30,0
26142,41799372,Manhattan,West Village,Entire home/apt,220.0,30,63
26143,3791244,Manhattan,West Village,Entire home/apt,196.0,30,27
26144,2000576,Brooklyn,Crown Heights,Entire home/apt,300.0,30,278
26145,1223011626105182643,Manhattan,Chelsea,Entire home/apt,350.0,30,0
26146,6328394,Manhattan,Harlem,Entire home/apt,130.0,30,249
26148,876667954357958567,Brooklyn,Crown Heights,Private room,36.0,90,0
26149,21589780,Brooklyn,Bedford-Stuyvesant,Private room,100.0,30,70
26150,859272312597021667,Manhattan,East Village,Entire home/apt,120.0,30,27
26151,47885578,Manhattan,Upper East Side,Entire home/apt,271.0,30,0
26153,1164374500997372987,Manhattan,Financial District,Entire home/apt,359.0,30,0
26154,965075878880346855,Manhattan,Upper West Side,Entire home/apt,423.0,31,0
26155,728898265855426177,Brooklyn,Crown Heights,Entire home/apt,190.0,3,17
26156,18313862,Brooklyn,South Slope,Entire home/apt,140.0,30,12
26157,20441901,Brooklyn,Bedford-Stuyvesant,Private room,37.0,30,3
26158,9544242,Manhattan,East Harlem,Private room,167.0,30,115
26159,980597457970566165,Manhattan,Upper East Side,Entire home/apt,767.0,2,20
26160,530247,Manhattan,Upper West Side,Entire home/apt,157.0,30,6
26161,1233328623909953623,Brooklyn,Crown Heights,Private room,50.0,30,0
26162,912355868324493373,Manhattan,Upper East Side,Entire home/apt,240.0,30,1
26163,1224008006953080417,Manhattan,Midtown,Entire home/apt,775.0,1,0
26164,1111668952583464683,Manhattan,Upper East Side,Hotel room,1000.0,1,0
26166,15095589,Brooklyn,Sunset Park,Private room,95.0,30,42
26167,847103411295151523,Brooklyn,Bedford-Stuyvesant,Private room,47.0,30,1
26168,4860650,Brooklyn,South Slope,Private room,140.0,30,110
26169,875920173051352993,Brooklyn,Crown Heights,Private room,33.0,30,0
26171,752169617765852622,Manhattan,Upper East Side,Entire home/apt,192.0,30,0
26172,39381034,Brooklyn,Bedford-Stuyvesant,Private room,1499.0,30,8
26173,46449888,Brooklyn,Williamsburg,Entire home/apt,305.0,30,5
26174,1216548944370742282,Brooklyn,Gowanus,Private room,115.0,30,0
26176,1067317365627051315,Manhattan,Upper West Side,Entire home/apt,633.0,31,0
26177,796973015167154994,Brooklyn,Bedford-Stuyvesant,Private room,49.0,30,0
26178,54260674,Brooklyn,Bushwick,Entire home/apt,90.0,30,65
26179,42338062,Manhattan,Harlem,Private room,176.0,2,173
26180,1009467377528070814,Manhattan,East Harlem,Private room,75.0,30,0
26181,52329346,Manhattan,East Harlem,Private room,47.0,30,0
26182,14918238,Brooklyn,Bedford-Stuyvesant,Private room,55.0,1,519
26183,692154261804082226,Queens,Astoria,Entire home/apt,192.0,30,21
26184,1124204389033268401,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,0
26185,46212641,Brooklyn,East Flatbush,Entire home/apt,600.0,3,14
26186,53850635,Brooklyn,Sunset Park,Entire home/apt,199.0,2,151
26187,1013293137558770633,Manhattan,Harlem,Entire home/apt,396.0,1,34
26188,28941614,Brooklyn,Bedford-Stuyvesant,Private room,60.0,30,127
26189,17416959,Manhattan,Harlem,Private room,2400.0,3,0
26191,1617488,Brooklyn,Bedford-Stuyvesant,Entire home/apt,325.0,30,84
26192,649952179707636731,Queens,Long Island City,Private room,235.0,1,190
26193,43268186,Manhattan,Chinatown,Entire home/apt,190.0,30,1
